x,y,xvel,yvel
-1858,1947,-306,-673
-1858,1944,-344,-650
-1858,1941,-315,-617
-1859,1940,-370,-207
-1860,1938,-346,-502
-1860,1935,-287,-848
-1860,1933,66,-397
-1860,1931,-520,62
-1860,1931,-81,-349
-1859,1931,51,-29
-1859,1933,-79,-18
-1857,1933,378,-577
-1855,1930,310,-854
-1854,1927,-96,-444
-1854,1926,118,-568
-1854,1924,-319,-525
-1854,1923,-346,-172
-1854,1922,-322,-585
-1855,1920,-228,-526
-1856,2175,-232,-205
-1857,2174,-389,-191
-1860,2173,-496,-153
-1862,2172,-385,-189
-1864,2171,-796,-203
-1867,2171,-769,-322
-1870,2171,-508,-280
-1872,2171,-509,26
-1875,2171,-730,-47
-1879,2172,-680,-3
-1882,2174,-833,307
-1884,2175,-452,301
-1887,1921,-427,376
-1889,1923,-613,371
-1890,1925,-228,637
-1891,1928,-379,567
-1891,1931,-335,176
-1892,1933,-203,194
-1893,1935,-161,518
-1894,1938,-147,427
-1895,1942,-172,877
-1895,1947,-138,799
-1896,1950,-342,447
-1896,1954,-294,385
-1896,1957,12,391
-1896,1960,36,388
-1896,1963,58,631
-1896,1966,-114,416
-1895,1970,-124,625
-1894,1972,-324,306
-1895,1973,-177,-100
-1895,1974,95,-72
-1894,1975,75,261
-1894,1976,75,264
-1894,1978,-299,-11
-1894,1979,-326,-47
-1894,1980,-312,288
-1895,1982,-290,299
-1895,1983,0,370
-1895,1985,-235,334
-1896,1987,17,168
-1896,1989,4,366
-1896,1990,38,332
-1896,1991,-307,105
-1896,1993,-59,315
-1895,1994,-32,-37
-1893,1995,308,-68
-1892,1996,334,-106
-1890,1997,69,-78
-1889,1998,307,-37
-1887,1998,580,115
-1884,1999,639,7
-1880,1999,622,-315
-1877,1998,488,-131
-1874,1997,417,-172
-1870,1996,422,-240
-1867,1995,245,-549
-1866,1993,-13,-448
-1865,1991,-579,-169
-1865,1988,259,-892
-1864,1986,-37,-583
-1863,1985,295,-514
-1861,1983,320,-529
-1859,1982,574,-569
-1856,1981,545,-187
-1853,1980,525,-136
-1851,1979,162,-349
-1849,1980,298,47
-1848,1980,274,80
-1846,1980,-144,103
-1847,1981,52,278
-1845,1983,383,-81
-1843,1983,132,60
-1842,1983,280,18
-1840,1983,-22,-221
-1839,1981,278,-630
-1838,1979,-106,-214
-1837,1978,114,-440
-1837,1975,-87,-638
